,sentence,verb,embedded
0,I think Agent[00] is the VILLAGER,ESTIMATE,"[-0.03160595  0.000946   -0.01541849 ... -0.02842024 -0.00474717
  0.04042548]"
1,I think Agent[00] is the SEER,ESTIMATE,"[-0.02739691 -0.01148984  0.00606947 ... -0.02812188  0.00106795
  0.01991123]"
2,I think Agent[00] is the MEDIUM,ESTIMATE,"[-0.00679811 -0.00681847  0.03310315 ... -0.05021648  0.00308358
  0.02245413]"
3,I think Agent[00] is the BODYGUARD,ESTIMATE,"[-0.00320411  0.00923154  0.00552738 ... -0.03280272  0.01890926
  0.00416188]"
4,I think Agent[00] is the WEREWOLF,ESTIMATE,"[-1.73706915e-02  2.38522375e-03  9.77769867e-03 ... -9.55617242e-03
 -8.52206576e-05  2.65983939e-02]"
5,I think Agent[00] is the POSSESSED,ESTIMATE,"[-0.03802737  0.0244838  -0.0150002  ... -0.00736838  0.02028436
  0.00667106]"
6,I think Agent[01] is the VILLAGER,ESTIMATE,"[-0.03580631  0.00578615 -0.01278361 ... -0.02183423 -0.0062242
  0.03071724]"
7,I think Agent[01] is the SEER,ESTIMATE,"[-0.03073645 -0.00485829  0.00889051 ... -0.02149425  0.00079591
  0.0143704 ]"
8,I think Agent[01] is the MEDIUM,ESTIMATE,"[-0.00737669  0.00152435  0.03303373 ... -0.04279585  0.0019229
  0.01398974]"
9,I think Agent[01] is the BODYGUARD,ESTIMATE,"[-0.00602568  0.01244866  0.00457628 ... -0.03113638  0.01650993
 -0.00191292]"
10,I think Agent[01] is the WEREWOLF,ESTIMATE,"[-0.01643366  0.0095839   0.00517329 ... -0.00385299 -0.00076538
  0.02040536]"
11,I think Agent[01] is the POSSESSED,ESTIMATE,"[-0.03921175  0.0247567  -0.01426153 ... -0.00134539  0.02040976
  0.00069317]"
12,I think Agent[02] is the VILLAGER,ESTIMATE,"[-0.03256588  0.00684453 -0.02314997 ... -0.01959651 -0.00565255
  0.03748375]"
13,I think Agent[02] is the SEER,ESTIMATE,"[-0.02737037 -0.00485418 -0.0003572  ... -0.02128624  0.00222825
  0.0199907 ]"
14,I think Agent[02] is the MEDIUM,ESTIMATE,"[-0.00041551  0.00141474  0.02169009 ... -0.04363239  0.00478806
  0.0152272 ]"
15,I think Agent[02] is the BODYGUARD,ESTIMATE,"[-0.00767618  0.01246841 -0.00456984 ... -0.02625683  0.01845152
  0.00380222]"
16,I think Agent[02] is the WEREWOLF,ESTIMATE,"[-1.25039406e-02  8.76344554e-03 -4.73796064e-03 ... -3.79036833e-03
  7.38636445e-05  2.61478424e-02]"
17,I think Agent[02] is the POSSESSED,ESTIMATE,"[-0.03321971  0.02246523 -0.02227398 ... -0.00024068  0.02056739
  0.00381409]"
18,I think Agent[03] is the VILLAGER,ESTIMATE,"[-0.03200654  0.00492635 -0.01759622 ... -0.01472006  0.00445068
  0.03587092]"
19,I think Agent[03] is the SEER,ESTIMATE,"[-0.02756124 -0.00483658  0.00119801 ... -0.0175154   0.01197399
  0.01978382]"
20,I think Agent[03] is the MEDIUM,ESTIMATE,"[-0.00256883  0.00211597  0.02660968 ... -0.04175721  0.01477275
  0.01831758]"
21,I think Agent[03] is the BODYGUARD,ESTIMATE,"[-0.00914512  0.01269918  0.00273499 ... -0.02457217  0.03019885
  0.00535958]"
22,I think Agent[03] is the WEREWOLF,ESTIMATE,"[-0.01488054  0.00648428  0.00657021 ...  0.00179293  0.0143005
  0.02483432]"
23,I think Agent[03] is the POSSESSED,ESTIMATE,"[-0.03424527  0.02248878 -0.01221809 ...  0.00304911  0.03153334
  0.00221606]"
24,I think Agent[04] is the VILLAGER,ESTIMATE,"[-0.02999303  0.01785721 -0.02393249 ... -0.02160265  0.00150592
  0.03167406]"
25,I think Agent[04] is the SEER,ESTIMATE,"[-0.02663658  0.00625984 -0.00230711 ... -0.02370027  0.00983343
  0.01523012]"
26,I think Agent[04] is the MEDIUM,ESTIMATE,"[-0.00043639  0.01049106  0.02434555 ... -0.0442275   0.01198417
  0.010939  ]"
27,I think Agent[04] is the BODYGUARD,ESTIMATE,"[-0.00671859  0.02457691 -0.00594568 ... -0.02995178  0.02667581
 -0.00012409]"
28,I think Agent[04] is the WEREWOLF,ESTIMATE,"[-0.01301602  0.02472411 -0.0026897  ... -0.00206034  0.01075175
  0.02163008]"
29,I think Agent[04] is the POSSESSED,ESTIMATE,"[-0.03291354  0.03268217 -0.02172062 ... -0.00102674  0.02815583
 -0.00281631]"
30,I'm pretty sure Agent[00] is the VILLAGER.,ESTIMATE,"[-0.02752335 -0.00763896 -0.03595653 ... -0.03101792  0.00089169
  0.02743671]"
31,I'm pretty sure Agent[00] is the SEER.,ESTIMATE,"[-0.02121216 -0.01968873 -0.0243087  ... -0.03427726  0.00842856
  0.00393485]"
32,I'm pretty sure Agent[00] is the MEDIUM.,ESTIMATE,"[-0.00129589 -0.01084946  0.0160923  ... -0.04232236  0.00710908
  0.01067548]"
33,I'm pretty sure Agent[00] is the BODYGUARD.,ESTIMATE,"[-0.01226486  0.0068455  -0.01366906 ... -0.03791355  0.02273058
 -0.00863733]"
34,I'm pretty sure Agent[00] is the WEREWOLF.,ESTIMATE,"[-0.01585153 -0.00071388 -0.01196526 ... -0.01356017 -0.00047751
  0.01468147]"
35,I'm pretty sure Agent[00] is the POSSESSED.,ESTIMATE,"[-0.03702747  0.02169936 -0.03642749 ... -0.00325705  0.01742805
 -0.00932115]"
36,I'm pretty sure Agent[01] is the VILLAGER.,ESTIMATE,"[-0.02978024 -0.00726088 -0.03179203 ... -0.0259975  -0.00359325
  0.02239893]"
37,I'm pretty sure Agent[01] is the SEER.,ESTIMATE,"[-0.02287562 -0.01401411 -0.02226943 ... -0.03177701  0.00205785
  0.00035419]"
38,I'm pretty sure Agent[01] is the MEDIUM.,ESTIMATE,"[-0.00578032 -0.00292113  0.01813464 ... -0.03837545  0.00759224
  0.00565643]"
39,I'm pretty sure Agent[01] is the BODYGUARD.,ESTIMATE,"[-0.01368023  0.00792726 -0.01324537 ... -0.03282114  0.01914804
 -0.01247546]"
